282 inbred,Rootbot date,scored,reason for not ,source - 200k packets from,WW cassette#,WS cassette#,Earliest_scored_plate,other comments,,"for this experiment, these seeds, stored in 2 metal boxes labeled ""282"" in Sears' GH, are surface sterilized, bubbled o/n in calcium sulfate, put on well watered soilless mix for 24h and then plated in well watered or water stress soil - pics not scored if less than 5 seeds WW and 5 WS grew for each inbred",,,,,
U267Y,9/30/2021,no,no germination,08PR0526,24,26,,,,,,,,,
NC344,9/30/2021,no,pic fail,RA17MO121/465,23,25,,,,,,,,,
F6,10/7/2021,no,low germination,RA17MO122/350,24,25,,,,,,,,,
A680,10/7/2021,yes,,RA17MO123/403,23,26,0,***Used 0 and 24 hour pics (probably should redo),,,,,,,
EP1,10/14/2021,yes,,07FG0031,22,26,0,***Used 0 and 30 hour pics instead of 6 and 36,,,,,,,
CML52,10/14/2021,yes,,RA17MO125/491,23,25,6,,,,,,,,
A659,10/21/2021,no,low germ,18GH004,23,25,,,,,,,,,
B68,10/21/2021,yes,,RA17MO128/336,22,26,6,,,,,,,,
Ki21,10/28/2021,yes,,RA17MO129/506,23,33,6,,,,,,,,
CI187-2,10/28/2021,yes,,RA17MO130/329,22,26,6,,,,,,,,
Va85,12/2/2021,yes,,RA17MO442,21,28,6,,,,,,,,
CML281,12/2/2021,yes,,18MX2130,23,26,6,,,,,,,,
IL677A,12/9/2021,no,cassette 22 broke,RA17MO134/335,22,33,,,,,,,,,
Ki3,12/9/2021,no,low germ,RA17MO135/580,21,28,,,,,,,,,
MoG,12/9/2021,yes,,RA17MO136/389,23,26,6,,,,,,,,
CI.7,12/23/2021,yes,,RA17MO137/464,20,29,6,,,,,,,,
CML261,12/23/2021,yes,,RA17MO138/531,23,33,6,,,,,,,,
CML311,12/30/2021,no,low germ,RA17MO139,23,29,,,,,,,,,
Va35,12/30/2021,yes,,RA17MO140/366,20,33,6,,,,,,,,
NC250,1/6/2022,yes,,RA17MO141/513,23,29,6,,,,,,,,
NC236,1/6/2022,yes,,RA17MO142/321,20,33,6,,,,,,,,
Mo24W,1/13/2022,yes,,RA17MO143/570,23,29,6,,,,,,,,
PA91,1/13/2022,yes,,RA17MO144/330,21,26,6,,,,,,,,
VA26,1/13/2022,yes,,RA17MO474,20,33,6,,,,,,,,
Va59,1/20/2022,yes,,RA17MO147/576,20,33,6,,,,,,,,
A679,1/20/2022,yes,,RA17MO148/449,21,26,6,,,,,,,,
NC324,1/20/2022,yes,,RA17MO149/542,23,29,6,,,,,,,,
Ki11 ,1/27/2022,yes,,RA17MO150/341,21,26,6,,,,,,,,
W22,1/27/2022,yes,,18FG493,20,29,6,,,,,,,,
Tx303,1/27/2022,yes,,RA17MO151/529,23,33,6,,,,,,,,
4226,2/10/2022,yes,,18FG472,20,33,6,,,,,,,,
K64,2/10/2022,yes,,RA17MO154/494,23,26,6,,,,,,,,
MS153,2/10/2022,yes,,RA17MO155/320,21,29,6,,,,,,,,
A682,2/24/2022,yes,,RA17MO156/435,21,26,6,,,,,,,,
CML11,2/24/2022,yes,,RA17MO158/519,23,33,6,,,,,,,,
Mo18W,2/24/2022,yes,,RA17MO159/322,20,29,6,,,,,,,,
NC222,3/3/2022,yes,,RA17MO157/511,36,26,6,,,,,,,,
C123,3/3/2022,yes,,18MX2111,20,29,6,,,,,,,,
NC306,3/3/2022,yes,,RA17MO161/554,21,32,6,,,,,,,,
D940Y,3/3/2022,yes,,RA17MO162/512,23,33,6,,,,,,,,
B105,3/10/2022,no,RootBot stopped picking up WS plate after 6 hour mark,RA17MO163/397,36,29,,,,,,,,,
B97,3/10/2022,yes,,RA17MO164/535,20,33,6,,,,,,,,
TZI10,3/10/2022,yes,,RA17MO165/429,23,226,6,,,,,,,,
Oh40B,3/10/2022,yes,,18RA494,21,32,6,,,,,,,,
CML69,3/17/2022,no,low germ,RA17MO405,20,29,,,,,,,,,
CM37,3/17/2022,yes,,RA17MO168/555,36,26,6,,,,,,,,
CO106,3/17/2022,yes,,RA17MO169,23,33,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
B73,3/17/2022,yes,,RA17MO170/390,21,32,6,,,,,,,,
CH9,3/24/2022,yes,,18MX2108,40,41,6,,,,,,,,
CML314,3/24/2022,yes,,RA17MO172/414,42,53,6,,,,,,,,
T232,3/24/2022,yes,,RA17MO173/409,44,35,6,,,,,,,,
N28HT,3/24/2022,yes,,RA17MO174/527,46,47,6,,,,,,,,
VaW6,3/24/2022,yes,,RA17MO175/384,38,39,6,,,,,,,,
CI64,4/7/2022,yes,,RA17MO176/395,44,47,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
A661,4/7/2022,yes,,RA17MO177,40,35,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
Pa762,4/7/2022,yes,,RA17MO178/572,46,39,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
A239,4/7/2022,yes,,RA17MO179/499,42,41,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
A619,4/7/2022,yes,,RA17MO180/544,38,53,0,*** Used 0 and 30 hr pics instead of 6 and 36,,,,,,,
SC357,4/14/2022,yes,,RA17MO181/479,38,41,6,,,,,,,,
I137TN,4/14/2022,yes,,RA17MO182/444,40,39,6,,,,,,,,
CML287,4/14/2022,yes,,RA17MO183/311,42,47,6,,,,,,,,
Mp339,4/14/2022,yes,,RA17MO184/315,46,35,6,,,,,,,,
CM105,4/14/2022,yes,,RA17MO185/524,44,53,6,,,,,,,,
NC358,4/21/2022,yes,,RA17MO186/573,38,47,6,,,,,,,,
CML108,4/21/2022,yes,,RA17MO540,44,53,6,,,,,,,,
NC326,4/21/2022,yes,,RA17MO188/484,42,41,6,,,,,,,,
R177,4/21/2022,yes,,RA17MO189/516,40,35,6,,,,,,,,
WF9,4/21/2022,yes,,18MX2112,46,39,6,,,,,,,,
IDS28,4/28/2022,yes,,RA17MO191/458,44,47,6,,,,,,,,
CML254,4/28/2022,yes,,18MX2131,40,39,6,,,,,,,,
SC213R,4/28/2022,yes,,RA17MO193/358,46,53,6,,,,,,,,
A441-5,4/28/2022,yes,,RA17MO528,38,35,6,,,,,,,,
DE1,4/28/2022,yes,,RA17MO195,42,41,6,,,,,,,,
K148,6/8/2022,yes,,RA17MO196/421,42,47,6,,,,,,,,
B52,6/8/2022,no,broken cassette,O7GH3028,46,41,,,,,,,,,
P39,6/8/2022,yes,,RA17MO197/525,40,53,6,,,,,,,,
B52,6/15/2022,yes,,O7GH3028,40,39,6,(redo from week prior),,,,,,,
Va17,6/15/2022,yes,,RA17MO201/463,42,53,6,,,,,,,,
CML5,6/15/2022,yes,,18MX2128,46,47,6,,,,,,,,
DEexpt1,6/15/2022,yes,,RA17MO199/425,50,45,6,,,,,,,,
NC320,6/23/2022,yes,,RA17MO202/507,46,47,6,,,,,,,,
M37W,6/23/2022,yes,,RA17MO203/457,50,45,6,,,,,,,,
A214N,6/23/2022,yes,,RA17MO204/378,40,39,6,,,,,,,,
B104,6/23/2022,yes,,RA17MO205/536,42,53,6,,,,,,,,
SD40,8/4/2022,yes,,RA17MO206/364,50,39,6,,,,,,,,
NC300,8/4/2022,yes,,RA17MO207/550,42,53,6,,,,,,,,
NC346,8/4/2022,yes,,RA17MO208/582,46,45,6,,,,,,,,
CI21E,8/11/2022,yes,,RA17MO211,42,53,6,,,,,,,,
CML38,8/11/2022,no,low germ,18FG533,46,45,,,,,,,,,
NC348,8/11/2022,yes,,18MX2118,50,39,6,,,,,,,,
IDS69,9/8/2022,no,low germ,RA17MO212/312,42,39,,,,,,,,,
NC33,9/8/2022,yes,,RA17MO213/551,50,45,6,,,,,,,,
NC310,9/15/2022,yes,,RA17MO214/488,46,39,6,,,,,,,,
Mo46,9/15/2022,yes,,18FG503,40,45,6,,,,,,,,
Pa880,9/15/2022,yes,,RA17MO360,42,53,6,,,,,,,,
Tzi25,9/15/2022,yes,,RA17MO217/344,50,47,6,,,*** up to this point total redos =,,,,42,
CML92,9/22/2022,yes,,RA17MO504,42,47,6,,,,,,,,
38-11,9/22/2022,yes,,RA17MO373/219,46,39,6,,,,,,,,
Mo17,9/22/2022,yes,,RA17MO218/581,50,53,6,,,,,,,,
CM7,9/22/2022,no,low germ,RA17MO221/561,40,45,,,,Lines left,54,,,,
NC362,9/29/2022,yes,,RA17MO222/408,42,47,6,,,w/o redos,12,,,,
NC258,9/29/2022,yes,,RA17MO223/485,40,53,6,,,,,,,,
B2,9/29/2022,yes,,RA17MO224/447,50,45,6,,,,,,,,
CML321,9/29/2022,yes,,18MX2127,46,39,6,,,,,,,,
W117HT,9/29/2022,yes,,2018GH006,38,35,6,,,,,,,,
Ky21,9/29/2022,no,pic fail (44 scored),RA17MO227/473,44,43,,,*** 43 had a zero hour photo but aftter that all the images were blank...maybe the plate didn't get picked up,,,,,,
Ia5125,10/6/2022,yes,,2018GH010,44,45,6,,(slot 1??),,,,,,
B64,10/6/2022,no,pic fail (35 scored),RA17MO229/339,40,35,6,,*** same as last week but with 40,,,,,,
MEF156-55-2,10/6/2022,yes,,RA17MO230/493,38,43,6,,(slot 3??),,,,,,
IDS91,10/6/2022,yes,,RA17MO231/549,50,39,6,,,,,,,,
NC264,10/6/2022,yes,,RA17MO232/310,46,53,6,,,,,,,,
H84,10/6/2022,yes,,RA17MO253/553,42,41,6,,,,,,,,
B73Htrhm,10/27/2022,no,pic fail/stall,RA17MO274/546,44,45,,,,,,,,,
K4,10/27/2022,no,pic fail/stall,RA17MO275/566,40,41,,,,,,,,,
Mt42,10/27/2022,no,pic fail/stall,RA17MO276/539,36,39,,,,,,,,,
CML341,10/27/2022,no,pic fail/stall,18MX2126,46,35,,,,,,,,,
H99,10/27/2022,no,pic fail/stall,RA17MO278/534,42,43,,,,,,,,,
Hi27,11/27/2022,no, ,RA17MO279/541,53,50,,,,,,,,,
Os420,11/17/2022,yes,,RA17MO510,44,45,6,,,,,,,,
796,11/17/2022,yes,,18FG491/492,46,35,6,,,,,,,,
R109B,11/17/2022,yes,,18RA14,38,53,6,,,,,,,,
A634,11/17/2022,yes,,18FG470,50,43,6,,,,,,,,
NC350,11/17/2022,yes,,RA17MO238/515,40,39,6,,,,,,,,
TZ18,11/17/2022,yes,,10WN1299,42,47,6,,,,,,,,
MS71,12/1/2022,yes,,RA17MO241/467,38,39,6,,,,,,,,
IL14H,12/1/2022,yes,,RA17MO383,40,47,6,,,,,,,,
F7,12/1/2022,yes,,RA17MO526,46,43,6,,,,,,,,
K55,12/1/2022,yes,,RA17MO243/412,42,35,6,,,,,,,,
Tzi16,12/1/2022,yes,  ,RA17MO244/422,50,53,6,,,,,,,,
NC318,12/1/2022,yes,,RA17MO245/443,44,45,6,,,,,,,,
OH7B,12/8/2022,yes,,RA17MO246/391,38,39,6,,,,,,,,
SG18,12/8/2022,yes,,RA17MO247/368,50,45,6,,,,,,,,
M047,12/8/2022,no,6h missing ,RA17MO248/483,42,53,,no,***check on 0 and 30h photos,,,,,,
W182B,12/8/2022,no,36h missing ,RA17MO249/401,40,35,,yes,,,,,,,
B84,12/8/2022,yes,,RA17MO250/349,44,43,6,,,,,,,,
NC302,12/8/2022,no,6h missing ,RA17MO251/365,46,47,,no,,,,,,,
Ki14,12/14/2022,yes, ,RA17MO257/308,42,35,6,,,,,,,,
CM174,12/14/2022,yes,,RA17MO256/388,50,43,6,,,,,,,,
NC296,12/14/2022,yes,,RA17MO255/466,46,45,6,,,,,,,,
NC260,12/14/2022,yes,,RA17MO254/386,40,39,6,,,,,,,,
NC262,12/14/2022,yes,,RA17MO253/411,38,53,6,,,,,,,,
33-16,12/14/2022,yes,,RA17MO252/387,44,47,6,,,,,,,,
DE811,12/19/2022,no,pic fail,RA17MO258/313,42,47,,,,,,,,,
Mo1W,12/19/2022,no,pic fail,RA17MO259/462,40,39,,,,,,,,,
GF112,12/19/2022,yes,,RA17MO260/324,44,45,6,,,,,,,,
NC352,12/19/2022,no,pic fail,RA17MO261/398,50,53,,,,,,,,,
A654,12/19/2022,no,pic fail,RA17MO262/413,38,43,,,,,,,,,
CML10,12/19/2022,no,pic fail,RA17MO263/407,46,35,,,,,,,,,
NC290A,12/21/2022,no,pic fail,RA17MO264/334,38,35,,,,,,,,,
CML238,12/21/2022,no,pic fail,RA17MO265/357,46,47,,,,,,,,,
N7A,12/21/2022,no,pic fail,RA17MO266/354,42,43,,,,,,,,,
IA2132,12/21/2022,no,pic fail,RA17MO267/352,44,45,,,,,,,,,
CML45,12/21/2022,no,pic fail,RA17MO268/424,40,39,,,,,,,,,
B75,12/21/2022,no,pic fail,RA17MO269/448,50,53,,,,,,,,,
