"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"357","L317","ws",10.7666666666667,0,0.23028117,0.24318056,0.66249657,0.165973051181032,0.109288155
"358","L317","ws",34.7666666666667,0,0.580480905,0.668736703,2.2620332,0.654287505203008,0.562613345
"359","L317","ww",6,0,0.28968419,0.289072896,0.8271985,0.265380172431957,0.367020455
"360","L317","ww",35.9966666666667,0,2.20212925,1.726769036,3.3793223,1.24944254036933,2.001297455
"361","L578","ws",6,0.6105563,1.10354805,1.050935963,1.5974019,0.298586858160738,0.33047051
"362","L578","ws",29.9997222222222,1.6980472,3.39767945,3.45663828,5.002506,0.989919638223676,0.91540015
"363","L578","ww",6,0.6711472,1.42943895,1.32883613,1.7713734,0.379160562367677,0.47834835
"364","L578","ww",29.9997222222222,3.5443218,4.2779834,4.67181289,6.135878,0.873885179622789,1.3693409
"365","M14","ws",6,0.38532874,0.685326685,0.636967068,0.8854875,0.170453639885774,0.27016139
"366","M14","ws",30.0002777777778,1.298011,1.965205,1.8813062,2.3062713,0.304324906746677,0.31023195
"367","M14","ww",6,0.41779122,0.669595505,0.663621744,0.9360452,0.157630273746455,0.1668914775
"368","M14","ww",29.9955555555556,2.6716154,3.8375144,3.77458013,4.4024825,0.528068793633046,0.582835350000001
"369","M162W","ws",6,0,0,0.02967004,0.2967004,0.0938249046683022,0
"370","M162W","ws",29.9997222222222,0,0,0.042293954,0.16621786,0.0697260211104246,0.07898919
"371","M162W","ww",6,0,0,0.019350157,0.12651575,0.0431393727352126,0
"372","M162W","ww",30,0,1.1436831,1.312602752,3.2996075,0.969944830620161,1.0379420375
"373","M37W","ws",6,0,0,0,0,0,0
"374","M37W","ws",36,0,0,0.35116886,2.4290056,0.805472601160569,0
"375","M37W","ww",6,0,0,0,0,0,0
"376","M37W","ww",36.0002777777778,0,0,0,0,0,0
"377","MEF156-55-2","ws",6,0.22251984,0.704740665,0.9298143485,2.5574737,0.622220138509553,0.61473695
"378","MEF156-55-2","ww",6,0.27640617,1.1654484,1.4321165475,3.279582,1.01864977092395,1.5302699875
"379","MO17","ws",6,0,0,0.05734684,0.35453033,0.125050670976643,0
"380","MO17","ws",36,0,1.120479435,1.073032537,2.4412253,1.05694788609883,1.97446285
"381","MO17","ww",6,0,0,0.13318038,0.4397595,0.176846700537624,0.2914767
"382","MO17","ww",36,0,0.881520715,1.468205863,3.787569,1.6138453242753,2.829405425
"383","MO18W","ws",6,0,0,0.17516577,0.5640624,0.233911942276127,0.3732857975
"384","MO18W","ws",36,0,1.31831425,1.44983299,3.3661036,1.30316582489573,2.267371975
"385","MO18W","ww",6,0,0,0.308528764,1.0741131,0.433901311776134,0.58299821
"386","MO18W","ww",36.0002777777778,0,0.4961005,1.93495004,6.2421365,2.62878206989253,4.192973475
"387","MO24W","ws",6,0,0.749727615,0.841142112,2.2170174,0.52859432921632,0.40360559
"388","MO24W","ww",6,0.48663762,1.41102025,2.022890736,5.6738997,1.57931040121273,2.0201966225
"389","MO44","ws",6,0,0.09627193,0.101120825,0.27059388,0.100649195151869,0.18554665
"390","MO44","ws",30,0.7385575,1.4768886,1.43477111,1.8234141,0.316280541713543,0.382614575
"391","MO44","ww",6,0,0.160660195,0.152878988,0.31177017,0.120659411366394,0.20626424
"392","MO44","ww",30,3.027375,3.5550526,3.67870355,4.3361754,0.465389574831821,0.7447196
"393","MO46","ws",6,0,0.353039445,0.492247362,1.9353256,0.548017477707767,0.77236095
"394","MO46","ww",6,0,0.266944285,0.823605944,5.239836,1.44419725391181,0.6616547825
"395","MOG","ws",6,0.69541395,1.2922834,1.58121374315789,2.7367191,0.700643932973827,1.352033665
"396","MOG","ww",6,1.0441277,2.04357615,2.605811365,5.2809544,1.45579076886957,2.1644731
"397","MP339","ws",6,0.4397595,1.57893785,1.731255219,3.3832521,1.03528334707112,2.0340910375
"398","MP339","ww",6,0.545433,1.2909781,2.5676348225,8.173228,2.27406733383949,3.6972747875
"399","MS1334","ws",6,0.860661,1.11678525,1.13733363,1.4759822,0.205738332610155,0.25072865
