"","inbred","rootbot_date","scored","source","earliest_scored_plate","condition","cassette","uid","in_meta","image","root","vector_length","surface","volume","direction","diameter","root_order","root_ontology","parent_name","parent","insertion_position","insertion_angle","n_child","child_density","first_child","insertion_first_child","last_child","insertion_last_child","file","in_df"
"33","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," a4b6f2bb-c1ca-4101-a721-456bdb748bf9",3.654633,11.022787,3.2228453,288.840667697375,0.9341757,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"34","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 506813c2-2750-4872-893c-6777dcb40d33",6.574204,10.525775,1.3723071,267.909580306628,0.5095282,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"35","CI66",NA,NA,NA,NA,NA,NA,NA,FALSE,"20181107-101057-plate_noQR"," 05287353-6f80-468a-b7d1-b4d5f589e250",5.782684,8.64051,1.0427961,278.937303212207,0.47554612,0," Primary root","-1","-1",-0.06793478,-57.2957795130823,0,0," null"," null"," null"," null","20181107-101057-plate_002.csv",TRUE
"36","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," cbd3cbed-a25a-47fd-a3c9-d3a77c7f175a",0.112179115,0.008245186,4.909723e-05,297.213277506517,0.02336419,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"37","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," eb7ac20a-26cf-4751-bec9-9c5101ad522f",0.075602196,0.0011562621,1.4257745e-06,297.816956946119,0.004867837,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"38","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," 1fd53c27-2485-43d3-9bdc-6380da249011",0.14868662,0.019949248,0.0001870139,151.212888676374,0.034559533,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"39","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," f1917f65-6d96-4896-b5bb-583a351e9d89",0.17154928,0.052870307,0.0012973566,229.314503571204,0.09734556,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"40","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," 5bb7532b-8a4b-449e-bf17-c2eb364865ff",0.21271922,0.06642418,0.0017362864,266.268695660424,0.095391035,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"41","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," ae18cf22-f3d7-45b2-80ee-2090fc327194",0.17671978,0.0075732395,2.8581115e-05,291.931519542103,0.013627795,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"42","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," b722135d-086e-464d-8abb-4220d987b6c5",0.18120855,0.005544336,1.4213293e-05,270.481255812164,0.009736898,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"43","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," 3a1d28e4-50c9-4e6a-995a-fe0eb0342eea",0.24308747,0.011905557,5.235806e-05,298.730289841934,0.015577195,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"44","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," bb2a2b77-c55c-45eb-b7c0-a051a413fb2e",0.23418745,0.005729663,1.1386784e-05,295.398223036478,0.0077875457,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"45","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," c7b7dd23-47d1-4279-ab59-f65585ec85e0",0.31159258,0.11243163,0.0037778972,270.143352693546,0.109032,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"46","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," 29399a32-f0ac-49d8-a117-10b7033d79cc",0.37728253,0.034617715,0.00025423852,265.623406708398,0.029205099,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"47","MO45",NA,NA,NA,NA,NA,7,NA,FALSE,"20181107-104458-plate_007"," 781ead77-3a2e-4479-a90f-e5bc3a0f7092",0.47735068,0.10558577,0.0020929964,278.09229952885,0.07009943,0," Primary root","-1","-1",-0.003894081,-57.2957795130823,0,0," null"," null"," null"," null","20181107-104458-plate_007.csv",TRUE
"48","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 52f0a754-0e74-49d3-85dc-d6799cf1aee7",0.11817186,0.019244054,0.00025362993,262.603151698932,0.051260997,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"49","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 4ebe463c-82d0-4db5-b48f-c8699e5636e4",0.08444975,0.014879291,0.00020534555,271.518433698009,0.051265102,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
"50","MO45",NA,NA,NA,NA,NA,8,NA,FALSE,"20181107-105057-plate_008"," 9d5067ad-ce1d-4bdc-bb8c-74ca7c79fcb4",0.12007071,0.014397692,0.00014982709,303.578713284645,0.037449535,0," Primary root","-1","-1",-0.003943218,-57.2957795130823,0,0," null"," null"," null"," null","20181107-105057-plate_008.csv",TRUE
